2026-03-29T21:30:19.633+01:00  INFO 27405 --- [tp8-monitoring] [main] ActuatorEtPrometheusEtGrafanaApplication : Starting Tp16SupervisionEtJournalisationLoggingEtActuatorEtPrometheusEtGrafanaApplication using Java 25.0.2 with PID 27405 (/Users/amine/Desktop/TP 16  Supervision et Journalisation Logging et Actuator et Prometheus et Grafana/target/classes started by amine in /Users/amine/Desktop/TP 16  Supervision et Journalisation Logging et Actuator et Prometheus et Grafana)
2026-03-29T21:30:19.635+01:00  INFO 27405 --- [tp8-monitoring] [main] ActuatorEtPrometheusEtGrafanaApplication : No active profile set, falling back to 1 default profile: "default"
2026-03-29T21:30:20.014+01:00  INFO 27405 --- [tp8-monitoring] [main] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8081 (http)
2026-03-29T21:30:20.021+01:00  INFO 27405 --- [tp8-monitoring] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-03-29T21:30:20.021+01:00  INFO 27405 --- [tp8-monitoring] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.20]
2026-03-29T21:30:20.039+01:00  INFO 27405 --- [tp8-monitoring] [main] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 381 ms
2026-03-29T21:30:20.246+01:00  INFO 27405 --- [tp8-monitoring] [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 14 endpoints beneath base path '/actuator'
2026-03-29T21:30:20.276+01:00  INFO 27405 --- [tp8-monitoring] [main] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8081 (http) with context path '/'
2026-03-29T21:30:20.280+01:00  INFO 27405 --- [tp8-monitoring] [main] ActuatorEtPrometheusEtGrafanaApplication : Started Tp16SupervisionEtJournalisationLoggingEtActuatorEtPrometheusEtGrafanaApplication in 0.815 seconds (process running for 0.967)
2026-03-29T21:31:01.267+01:00  INFO 27405 --- [tp8-monitoring] [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-29T21:31:01.268+01:00  INFO 27405 --- [tp8-monitoring] [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2026-03-29T21:31:01.279+01:00  INFO 27405 --- [tp8-monitoring] [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 11 ms
